string,string,string,string
boxno,sn,carno,creattime
LFB7201709210012,1PQ1733002047,32002292,2017/9/21 14:51
LFB7201709210012,1PQ1733002103,32001993,2017/9/21 14:51
LFB7201709210012,1PQ1733002139,32002295,2017/9/21 14:51
LFB7201709210012,1PQ1728000001,32000367,2017/9/21 14:51
LFB7201709210012,1PQ1728000064,32000368,2017/9/21 14:51
LFB7201709210012,1PQ1728000094,32002293,2017/9/21 14:51
LFB7201709210012,1PQ1728000112,32001943,2017/9/21 14:51
LFB7201709210012,1PQ1728000337,32002308,2017/9/21 14:51
LFB7201709210012,1PQ1728000372,32002315,2017/9/21 14:51
LFB7201709210012,1PQ1733000636,32002004,2017/9/21 14:51
LFB7201709210012,1PQ1733000744,32002015,2017/9/21 14:51
LFB7201709210012,1PQ1733001088,32001968,2017/9/21 14:51
LFB7201709210012,1PQ1733001097,32000424,2017/9/21 14:51
LFB7201709210012,1PQ1733001504,32000442,2017/9/21 14:51
LFB7201709210012,1PQ1733001739,32000390,2017/9/21 14:51
LFB7201709210012,1PQ1733001798,32002031,2017/9/21 14:51
LFB7201709210013,1PQ1728000288,32002346,2017/9/21 14:52
LFB7201709210013,1PQ1728000326,32002305,2017/9/21 14:52
LFB7201709210013,1PQ1728000447,32001959,2017/9/21 14:52
LFB7201709210013,1PQ1728000496,32000370,2017/9/21 14:52
LFB7201709210013,1PQ1733000626,32002005,2017/9/21 14:52
LFB7201709210013,1PQ1733000634,32002026,2017/9/21 14:52
LFB7201709210013,1PQ1733000689,32000361,2017/9/21 14:52
LFB7201709210013,1PQ1733000737,32002003,2017/9/21 14:52
LFB7201709210013,1PQ1733000778,32002013,2017/9/21 14:52
LFB7201709210013,1PQ1733000894,32001974,2017/9/21 14:52
LFB7201709210013,1PQ1733000895,32002328,2017/9/21 14:52
LFB7201709210013,1PQ1733000960,32000427,2017/9/21 14:52
LFB7201709210013,1PQ1733000971,32001971,2017/9/21 14:52
LFB7201709210013,1PQ1733000974,32002331,2017/9/21 14:52
LFB7201709210013,1PQ1733001048,32002348,2017/9/21 14:52
LFB7201709210013,1PQ1733001107,32001944,2017/9/21 14:52
LFB7201709210013,1PQ1733001809,32002297,2017/9/21 14:52
LFB7201709210013,1PQ1733001880,32000437,2017/9/21 14:52
LFB7201709230001,1PQ1733001960,32002054,2017/9/23 9:21
LFB7201709230001,1PQ1733002092,32000924,2017/9/23 9:21
LFB7201709230001,1PQ1733002097,32000936,2017/9/23 9:21
